Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Status
2021-01-20;ADA;118,9;2019-07-02;0,0;35,41;OK
2021-01-20;ADA;45,5;2019-07-02;0,0;13,55;OK
2021-01-20;ADA;35,6;2019-07-02;0,0;10,6;OK
2021-02-14;ADA;23,7;2019-07-02;0,0;35,28;OK
2021-02-14;ADA;25,0;2019-07-02;0,0;35,28;OK
2021-02-20;ADA;51,6;2019-07-02;0,0;93,01;OK
2021-02-20;ADA;209,4;2019-07-02;0,0;377,44;OK
2021-02-20;ADA;260,8;2019-07-02;0,0;470,44;OK
2021-02-20;ADA;16,7;2019-07-02;0,0;470,44;OK
2021-02-20;ADA;27,7;2019-07-02;0,0;112,17;OK
2021-02-20;ADA;73,0;2019-07-02;0,0;112,17;OK
2021-02-20;ADA;27,7;2019-07-02;0,0;112,17;OK
2021-02-20;ADA;76,7;2019-07-02;0,0;166,77;OK
2021-02-20;ADA;114,2;2019-07-02;0,0;166,77;OK
2021-02-20;ADA;16,8;2019-07-02;0,0;2945,06;OK
2021-02-20;ADA;228,9;2019-07-02;0,0;2945,06;OK
2021-02-20;ADA;747,7;2019-07-02;0,0;2945,06;OK
2021-02-20;ADA;1482,8;2019-07-02;0,0;1836,62;OK
2021-02-20;ADA;161,8;2019-07-02;0,0;200,41;OK
2021-02-20;ADA;40,0;2019-07-02;0,0;49,54;OK
2021-02-20;ADA;46,0;2019-07-02;0,0;56,98;OK
2021-02-20;ADA;151,4;2019-07-02;0,0;187,53;OK
2021-02-20;ADA;495,7;2019-07-02;0,0;613,98;OK
2021-02-20;ADA;38,1;2019-07-02;0,0;33,28;OK
2021-02-20;ADA;33,7;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;38,1;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;33,6;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;38,1;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;60,5;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;33,6;2019-07-02;0,0;231,86;OK
2021-02-20;ADA;27,8;2019-07-02;0,0;231,86;OK
