Data_Venda;Moeda;Quantidade;Data_Aquisição;Custo_Aquisição;Valor_Venda;Resultado
2021-01-20;ADA;40,0;2019-07-02;0,0;11,91;11,91
2021-01-20;ADA;46,0;2019-07-02;0,0;13,7;13,7
2021-01-20;ADA;114,0;2019-07-02;0,0;33,95;33,95
2021-02-14;ADA;23,7;2019-07-02;0,0;35,28;35,28
2021-02-14;ADA;13,7;2019-07-02;0,0;19,34;19,34
2021-02-14;ADA;11,3;2019-07-02;0,0;15,95;15,95
2021-02-20;ADA;261,0;2019-07-02;0,0;228,01;228,01
2021-02-20;ADA;195,2;2019-07-02;0,0;181,45;181,45
2021-02-20;ADA;65,6;2019-07-02;0,0;60,98;60,98
2021-02-20;ADA;16,7;2019-07-02;0,0;242,43;242,43
2021-02-20;ADA;27,7;2019-07-02;0,0;87,97;87,97
2021-02-20;ADA;46,0;2019-07-02;0,0;55,44;55,44
2021-02-20;ADA;27,0;2019-07-02;0,0;32,54;32,54
2021-02-20;ADA;27,7;2019-07-02;0,0;24,2;24,2
2021-02-20;ADA;76,7;2019-07-02;0,0;67,01;67,01
2021-02-20;ADA;114,2;2019-07-02;0,0;99,77;99,77
2021-02-20;ADA;4,4;2019-07-02;0,0;56,22;56,22
2021-02-20;ADA;12,4;2019-07-02;0,0;158,43;158,43
2021-02-20;ADA;87,3;2019-07-02;0,0;81,86;81,86
2021-02-20;ADA;141,6;2019-07-02;0,0;132,78;132,78
2021-02-20;ADA;95,7;2019-07-02;0,0;349,47;349,47
2021-02-20;ADA;52,3;2019-07-02;0,0;190,99;190,99
2021-02-20;ADA;599,7;2019-07-02;0,0;2189,95;2189,95
2021-02-20;ADA;2268,9;2019-07-02;0,0;2605,47;2605,47
2021-02-20;ADA;45,6;2019-07-02;0,0;52,36;52,36
2021-02-20;ADA;63,2;2019-07-02;0,0;72,58;72,58
2021-02-20;ADA;38,1;2019-07-02;0,0;96,01;96,01
2021-02-20;ADA;33,7;2019-07-02;0,0;96,01;96,01
2021-02-20;ADA;38,1;2019-07-02;0,0;96,01;96,01
2021-02-20;ADA;32,8;2019-07-02;0,0;61,15;61,15
2021-02-20;ADA;0,8;2019-07-02;0,0;1,49;1,49
2021-02-20;ADA;38,1;2019-07-02;0,0;62,64;62,64
2021-02-20;ADA;60,5;2019-07-02;0,0;106,49;106,49
2021-02-20;ADA;33,6;2019-07-02;0,0;106,49;106,49
2021-02-20;ADA;27,8;2019-07-02;0,0;106,49;106,49
2021-02-20;ADA;27,8;2019-07-02;0,0;24,29;24,29
2021-02-20;ADA;2311,4;2019-07-02;0,0;3234,37;3234,37
2021-02-20;ADA;52,8;2019-07-02;0,0;73,88;73,88
2021-02-20;ADA;322,7;2019-07-02;0,0;451,56;451,56
2021-02-20;ADA;150,1;2019-07-02;0,0;210,04;210,04
2021-02-20;ADA;150,0;2019-07-02;0,0;209,9;209,9
2021-02-20;ADA;712,0;2019-07-02;0,0;996,31;996,31
2021-02-20;ADA;118,9;2019-02-19;0,0;166,38;166,38
2021-02-20;ADA;45,5;2019-02-19;0,0;63,67;63,67
2021-02-20;ADA;2500,0;2019-02-19;0,0;3498,28;3498,28
2021-02-20;ADA;51,6;2019-02-19;0,0;72,2;72,2
2021-02-20;ADA;1982,0;2019-02-19;0,0;2773,43;2773,43
2021-02-20;ADA;76,9;2019-02-19;0,0;11750,01;11750,01
2021-02-20;ADA;1223,5;2019-02-19;0,0;2905,39;2905,39
2021-02-20;ADA;161,8;2019-02-19;0,0;384,22;384,22
2021-02-20;ADA;40,0;2019-02-19;0,0;94,99;94,99
2021-02-20;ADA;46,0;2019-02-19;0,0;109,23;109,23
2021-02-20;ADA;151,4;2019-02-19;0,0;359,52;359,52
2021-02-20;ADA;807,2;2019-02-19;0,0;1916,82;1916,82
2021-02-20;ADA;456,2;2019-02-19;0,0;1083,32;1083,32
2021-02-20;ADA;156,0;2019-02-19;0,0;370,45;370,45
2021-02-20;ADA;250,0;2019-02-19;0,0;593,66;593,66
2021-02-20;ADA;99,7;2019-02-19;0,0;236,75;236,75
2021-02-20;ADA;237,3;2019-02-19;0,0;563,5;563,5
2021-02-20;ADA;52,3;2019-02-19;0,0;124,19;124,19
2021-02-20;ADA;1266,7;2019-02-19;0,0;3007,97;3007,97
2021-02-20;ADA;27,8;2019-02-19;0,0;11750,01;11750,01
2021-03-31;BNB;3,924;2018-12-26;0,0;1446,38;1446,38
2021-03-31;BNB;4,781721;2019-02-01;0,0;1762,54;1762,54
2021-03-31;BNB;1,093488;2019-02-01;0,0;403,06;403,06
2021-03-31;BNB;20,329791;2019-02-01;0,0;7493,54;7493,54
2021-03-31;BNB;6,668637;2019-02-01;0,0;5339,1;5339,1
2021-03-31;BNB;3,924;2019-02-01;0,0;3141,67;3141,67
2021-03-31;BNB;3,278363;2019-04-19;0,0;2624,75;2624,75
2021-04-02;BTC;0,000371;2019-04-02;0,0;51,33;51,33
2021-04-02;BTC;0,000649;2019-04-02;0,0;51,33;51,33
2021-04-02;BTC;0,000648;2019-04-02;0,0;901,14;901,14
2021-04-02;BTC;0,000648;2019-04-02;0,0;901,14;901,14
2021-04-02;BTC;0,008178;2019-04-02;0,0;901,14;901,14
2021-04-02;BTC;0,008432;2019-04-02;0,0;901,14;901,14
2021-04-02;BTC;0,00102414;2019-04-02;0,0;51,54;51,54
2021-04-02;BTC;0,00740786;2019-08-04;0,0;372,81;372,81
2021-04-02;BTC;0,008432;2019-08-04;0,0;3655,81;3655,81
2021-04-02;BTC;0,000992;2019-08-04;0,0;3655,81;3655,81
2021-04-02;BTC;0,00455958;2019-08-04;0,0;2569,99;2569,99
2021-04-02;BTC;0,00192642;2019-04-03;0,0;1085,82;1085,82
2021-04-02;BTC;0,006486;2019-04-03;0,0;3655,81;3655,81
2021-04-02;BTC;0,01297902;2019-04-03;0,0;944,33;944,33
2021-04-02;BTC;0,00648934;2019-08-04;0,0;472,15;472,15
2021-04-02;BTC;0,00648934;2019-04-03;0,0;472,15;472,15
2021-04-02;BTC;0,00150304;2019-09-04;0,0;109,36;109,36
2021-04-02;BTC;0,00150304;2019-05-15;0,0;109,36;109,36
2021-04-02;BTC;0,02128222;2019-09-04;0,0;1548,46;1548,46
2021-04-02;ETH;0,17914776;2019-01-28;0,0;1268,19;1268,19
2021-04-02;ETH;0,31463224;2019-02-19;0,0;2227,29;2227,29
2021-04-02;ETH;0,28836;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ETH;0,35893;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ETH;0,21424264;2019-02-19;0,0;2086,43;2086,43
2021-04-02;ETH;0,14468736;2019-02-19;0,0;1409,05;1409,05
2021-04-02;ETH;0,5;2019-02-19;0,0;3495,48;3495,48
2021-04-02;ADA;732,3;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;409,7;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;432,1;2019-02-19;0,0;2382,84;2382,84
2021-04-02;ADA;45,6;2019-02-19;0,0;251,46;251,46
2021-04-02;ADA;80,4;2019-02-19;0,0;443,37;443,37
2021-04-02;ADA;125,5;2019-02-19;0,0;1225,79;1225,79
2021-04-02;ADA;189,6;2019-02-19;0,0;1851,88;1851,88
2021-04-02;ADA;611,2;2019-02-19;0,0;3077,67;3077,67
2021-04-02;ADA;373,6;2019-02-19;0,0;3077,67;3077,67
2021-04-18;ADA;118,9;2019-02-19;0,0;1735,85;1735,85
2021-04-18;ADA;45,5;2019-02-19;0,0;664,27;664,27
2021-04-18;ADA;878,8;2019-02-19;0,0;12829,82;12829,82
2021-04-18;ADA;94,9;2019-02-19;0,0;15229,93;15229,93
2021-04-18;ADA;300,0;2019-02-19;0,0;15229,93;15229,93
2021-04-18;ADA;1226,3;2019-02-19;0,0;15207,61;15207,61
2021-04-18;ADA;1,8;2019-02-19;0,0;22,32;22,32
2021-04-18;ADA;49,8;2019-02-19;0,0;447,81;447,81
2021-04-18;ADA;1643,9;2019-02-19;0,0;14782,12;14782,12
2021-04-18;ADA;1638,5;2019-02-19;0,0;2481,55;2481,55
2021-04-18;ADA;161,8;2019-02-19;0,0;245,05;245,05
2021-04-18;ADA;40,0;2019-02-19;0,0;60,58;60,58
2021-04-18;ADA;46,0;2019-02-19;0,0;69,67;69,67
2021-04-18;ADA;151,4;2019-02-19;0,0;229,3;229,3
